strength,bump_mult,w2_1980,w2_1990,w2_2000,w2_2010,w2_2020,w2_total,cells_in_band,cells_total,gate_pass
0.02,0.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.40137810477577124,0.4182519656159962,1.8189707794345547,20,24,True
0.02,1.0,0.24530699938429942,0.33110990187864686,0.422923807779841,0.401340460519525,0.4190542932372642,1.8197354627995765,20,24,True
0.02,1.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.40127830591636204,0.418795568887148,1.8194145838462972,20,24,True
0.04,0.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4014360701120581,0.4158848964542033,1.8166616756090486,20,24,True
0.04,1.0,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4013997079221504,0.4164687387465868,1.8172091557115244,20,24,True
0.04,1.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.40134902168047226,0.41751120163823147,1.818200932361491,20,24,True
0.06,0.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4014825290665501,0.41362045014119736,1.8144436882505346,19,24,True
0.06,1.0,0.24530699938429942,0.33110990187864686,0.422923807779841,0.40144701764225693,0.41451199342004985,1.815299720105094,19,24,True
0.06,1.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4014018551383624,0.41572939717652274,1.8164719613576725,20,24,True
0.08,0.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.40149612333556933,0.41150461817638034,1.812341450554737,18,24,True
0.08,1.0,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4014700085861267,0.4126265944565189,1.8134373120854328,18,24,True
0.08,1.5,0.24530699938429942,0.33110990187864686,0.422923807779841,0.4014311295186229,0.4139581780349144,1.8147300165963247,19,24,True
