seed,decade,wasserstein,corr_xy,var_x,var_y,mean_abs_x,mean_abs_y,n_local_max,q_ll,q_lr,q_ul,q_ur,degraded
3,2010,0.3921546127646133,0.45124532175523824,0.11241624935578329,0.035728143597619326,0.2860236798853477,0.14629424051096948,1,0.34,0.116,0.184,0.36,False
3,2020,0.4247675390080332,0.5719293909050153,0.14574363590535636,0.037720654569319036,0.3341142692186401,0.15303676427099444,4,0.376,0.08,0.14,0.404,False
4,1980,0.2230052701280527,0.014451459033083555,0.19491275685030543,0.18742910354379108,0.3590243151742955,0.3527833975766362,2,0.2,0.276,0.28,0.244,False
4,1990,0.3242034636089949,-0.02005994009636781,0.1067069985403658,0.0704661376536732,0.27246479022690745,0.21732361830506924,3,0.18,0.248,0.304,0.268,False
4,2000,0.39727230422206694,0.23177081395272564,0.09857681294166565,0.03198678562168211,0.2646858349558889,0.1434596694679442,2,0.224,0.168,0.268,0.34,False
4,2010,0.42425349091410286,0.4026082559094253,0.13068379395935387,0.034268967453252225,0.3074411890268123,0.145893006899454,2,0.252,0.14,0.236,0.372,False
4,2020,0.42181605112288706,0.5761823212573021,0.14783548242871908,0.04111991168254959,0.33068124572241686,0.15793260154004854,2,0.308,0.084,0.212,0.396,False
5,1980,0.24844417056521534,-0.024476928936992045,0.21448379978472956,0.1805543172498148,0.3707427400199811,0.3384525012480591,1,0.268,0.228,0.28,0.224,False
5,1990,0.31865817716569333,0.019620972430084902,0.1191017719048113,0.06562251929565469,0.294791220652956,0.20584575624288937,3,0.28,0.212,0.288,0.22,False
5,2000,0.4023802919474677,0.18397531158720293,0.09215235245277986,0.031755707585894466,0.25850317609019113,0.14681941912199398,3,0.344,0.208,0.212,0.236,False
5,2010,0.44928438236381857,0.3581250530183378,0.1204696105404524,0.03400336466289369,0.2907766459179372,0.15005276463330144,2,0.396,0.172,0.148,0.284,False
5,2020,0.4011119305887178,0.4677705676134481,0.1449825044086507,0.039878310131272486,0.3294205216325918,0.16052184169516306,2,0.424,0.128,0.152,0.296,False
6,1980,0.211281383623723,-0.005046849924023776,0.23464927546177267,0.19497523298283864,0.3907664760334152,0.35517120762350735,1,0.216,0.24,0.268,0.276,False
6,1990,0.2907645201803602,0.11994629451365152,0.12899056887165034,0.07552418113523349,0.2947931649613213,0.21893068366515311,2,0.256,0.216,0.208,0.32,False
6,2000,0.39299774382396596,0.4092424330986272,0.0846411721917289,0.04504014868165863,0.24569711462409252,0.173818653097652,1,0.324,0.18,0.14,0.356,False
6,2010,0.4320573982883146,0.5473732648959118,0.10175651000289918,0.03790511114533707,0.27271152855085623,0.15654205680598415,2,0.348,0.148,0.128,0.376,False
6,2020,0.4003992578480875,0.6424903412145552,0.13474701683673526,0.04681689447466297,0.3224648081937008,0.17448659080310847,4,0.34,0.088,0.16,0.412,False
7,1980,0.31635550148403435,0.0024247426650800593,0.18982510150254556,0.19619479839442294,0.34802972957001976,0.36288671914115694,1,0.324,0.232,0.224,0.22,False
7,1990,0.3414065945786367,0.06426519443958369,0.09824823732718233,0.07310659848494044,0.26018960483294995,0.21386726322165203,1,0.328,0.248,0.216,0.208,False
7,2000,0.45217697620391595,0.2573571718469843,0.0834208927392471,0.03677908918148744,0.24807479014407657,0.14936710405919496,2,0.384,0.184,0.184,0.248,False
7,2010,0.40588878720397126,0.3648815603025615,0.11478522283097432,0.042054583515192534,0.2932657403418258,0.15168433233720174,2,0.368,0.156,0.18,0.296,False
7,2020,0.3864508230567954,0.47095071334564714,0.15002186289785283,0.046003506403231274,0.34556788134000205,0.1618394413109288,3,0.392,0.132,0.14,0.336,False
8,1980,0.23739779275027784,0.010508022435181539,0.18415046721350375,0.18341962018622246,0.34966764584016075,0.3491192818259766,2,0.276,0.208,0.244,0.272,False
8,1990,0.32092650733046846,0.09273867964717043,0.08768052531491395,0.0770374496326806,0.25355089276247,0.2245197284499997,2,0.292,0.188,0.232,0.288,False
8,2000,0.36750635962129485,0.31644056244399293,0.09071832739733583,0.039708122946758996,0.25701918385485634,0.1609367700045005,2,0.344,0.14,0.204,0.312,False
8,2010,0.42092181419762137,0.37391524660529746,0.1161177598586413,0.034244313479456875,0.2888389242208822,0.1467336451833098,1,0.34,0.112,0.216,0.332,False
8,2020,0.4471202547530861,0.5415111557820382,0.14670330179676747,0.038929811089826974,0.3335586473693201,0.15870648579559168,2,0.372,0.052,0.212,0.364,False
