party_center_y,coupling_rho,w2_1980,w2_1990,w2_2000,w2_2010,w2_2020,w2_total,cells_in_band,cells_total,gate_pass,shape_2020_corr_xy,shape_2020_var_y,shape_2020_var_x
0.1,0.0,0.24144150032476874,0.3233801100750309,0.4085925099108435,0.3921660904010005,0.383991240656928,1.7495714513685718,12,24,False,0.6789453618770394,0.06369446391517818,0.13763333025578714
0.1,0.1,0.24080809109990692,0.3237330365390533,0.4085016137235895,0.39322362782183873,0.3880380086596308,1.754304377844019,12,24,False,0.6752196788713456,0.062292050434827974,0.13610873205833934
0.1,0.2,0.23801133323738027,0.32276068273966213,0.4068011637045582,0.39149192834438135,0.38674002283817205,1.745805130864154,12,24,False,0.6788767734519926,0.06270589297569966,0.13563569396946384
0.1,0.3,0.2377432413795401,0.32192407461216793,0.4072753009982293,0.3921598270722112,0.38650466346209,1.7456071075242385,13,24,False,0.6665235976274146,0.0633045201128703,0.1360991657524108
0.15,0.0,0.24144150032476874,0.3201595358113383,0.3992481597388694,0.3799057071658499,0.3663098251117051,1.7070647281525315,11,24,False,0.7432164070711325,0.07954876077201699,0.13745059601829865
0.15,0.1,0.24080809109990692,0.32047897504063155,0.3990772070543418,0.3797962927098665,0.36884805700443274,1.7090086229091794,11,24,False,0.7407527793553295,0.07907969692155205,0.13711818601318873
0.15,0.2,0.23801133323738027,0.319546695635878,0.39744953226425667,0.3784161021344142,0.366853474975274,1.7002771382472028,12,24,False,0.7424325154955081,0.08027129583336966,0.13759105443680714
0.15,0.3,0.2377432413795401,0.31879590364539523,0.3978608368366877,0.37900340761668855,0.3698057827579288,1.7032091722362404,12,24,False,0.7337755581071004,0.07976615800766981,0.1359837251212475
0.2,0.0,0.24144150032476874,0.3172541014907838,0.3909238193424726,0.3690850388669883,0.3523578803214399,1.6710623403464533,13,24,False,0.7771208631133473,0.09625011805584713,0.13905717205473553
0.2,0.1,0.24080809109990692,0.3175648998926556,0.391238932867666,0.36996926848813966,0.35722599743686556,1.676807189785234,13,24,False,0.7813428647817797,0.09462288745479071,0.13635965859360658
0.2,0.2,0.23801133323738027,0.31659400401352544,0.3892248618638735,0.3682529922150541,0.3548914041807761,1.6669745955106092,13,24,False,0.7807089598460732,0.0960833774896251,0.13668417216946568
0.2,0.3,0.2377432413795401,0.3159834639559708,0.38973123227342343,0.36831881889971047,0.35646855100626873,1.6682453075149137,13,24,False,0.7746771562491205,0.09595701039857443,0.13555774820797928
0.25,0.0,0.24144150032476874,0.3147008265490284,0.38379607853704373,0.36156681654332046,0.3493377726534212,1.6508429946075827,13,24,False,0.792158847664251,0.10310976480866085,0.13778265460989647
0.25,0.1,0.24080809109990692,0.31479376479917504,0.3841260877597744,0.3616566200503504,0.3515681863882637,1.6529527500974703,13,24,False,0.7919654065214482,0.1032562870521228,0.13589767053756288
0.25,0.2,0.23801133323738027,0.3139118827111688,0.38226480492887827,0.3606655235619199,0.35117689807601477,1.646030442515362,13,24,False,0.793564107567893,0.10325674362740041,0.13534470610913152
0.25,0.3,0.2377432413795401,0.31336358259932284,0.3826480833434792,0.36047391028349784,0.3520969814128078,1.6463257990186477,13,24,False,0.7925058316502028,0.10406862655434593,0.13489832580717964
