year,party_7pt,party,weight,econ,cult
1986,2.0,D,1.0,0.3333333333333333,0.6666666666666667
1986,7.0,R,1.0,0.22222222222222224,0.5
1986,6.0,R,1.0,0.5555555555555557,0.33333333333333337
1986,7.0,R,1.0,0.5555555555555556,0.16666666666666669
1986,4.0,I,1.0,-0.22222222222222224,-0.9166666666666667
1986,1.0,D,1.0,-0.3333333333333333,0.08333333333333337
1986,6.0,R,1.0,0.0,-0.125
1986,6.0,R,1.0,0.888888888888889,0.5833333333333334
1986,4.0,I,1.0,-0.6666666666666666,0.16666666666666669
1986,5.0,R,1.0,0.0,0.45833333333333337
1986,5.0,R,1.0,0.4444444444444444,0.125
1986,1.0,D,1.0,0.3333333333333334,0.6666666666666666
1986,6.0,R,1.0,-0.22222222222222224,0.0
1986,3.0,D,1.0,-0.11111111111111112,0.375
1986,6.0,R,1.0,0.3333333333333333,-0.04166666666666663
1986,3.0,D,1.0,3.700743415417188e-17,0.08333333333333331
1986,3.0,D,1.0,0.0,0.08333333333333337
1986,6.0,R,1.0,0.11111111111111112,0.5
1986,6.0,R,1.0,0.4444444444444445,0.45833333333333337
1986,4.0,I,1.0,-0.6666666666666666,0.20833333333333337
1986,6.0,R,1.0,0.5555555555555556,0.9166666666666667
1986,1.0,D,1.0,-0.5555555555555556,0.5
1986,5.0,R,1.0,-0.11111111111111112,0.08333333333333337
1986,1.0,D,1.0,0.0,0.45833333333333337
1986,2.0,D,1.0,0.11111111111111112,-0.33333333333333337
1986,7.0,R,1.0,0.5555555555555556,0.6666666666666667
1986,1.0,D,1.0,-0.3333333333333333,0.25
1986,5.0,R,1.0,-0.11111111111111109,0.08333333333333337
1986,2.0,D,1.0,-0.2222222222222222,0.041666666666666685
1986,1.0,D,1.0,0.22222222222222224,-0.08333333333333337
1986,6.0,R,1.0,-0.11111111111111109,-0.04166666666666663
1986,2.0,D,1.0,-3.700743415417188e-17,-0.45833333333333337
1986,4.0,I,1.0,0.2222222222222222,0.08333333333333331
1986,1.0,D,1.0,-0.22222222222222224,0.125
1986,7.0,R,1.0,0.3333333333333333,0.08333333333333337
1986,2.0,D,1.0,-0.11111111111111112,-0.08333333333333331
1986,2.0,D,1.0,0.22222222222222224,0.08333333333333337
1986,2.0,D,1.0,0.3333333333333333,0.2916666666666667
1986,1.0,D,1.0,0.5555555555555556,0.0
1986,5.0,R,1.0,0.11111111111111109,-0.08333333333333331
1986,4.0,I,1.0,0.4444444444444444,0.625
1986,4.0,I,1.0,0.4444444444444445,0.20833333333333337
1986,7.0,R,1.0,0.4444444444444445,-0.08333333333333331
1986,6.0,R,1.0,-0.11111111111111109,-0.041666666666666685
1986,4.0,I,1.0,0.5555555555555556,0.8333333333333334
1986,4.0,I,1.0,-0.5555555555555556,0.75
1986,2.0,D,1.0,-0.11111111111111109,0.375
1986,5.0,R,1.0,0.888888888888889,0.8333333333333333
1986,2.0,D,1.0,0.3333333333333333,0.3333333333333333
1986,3.0,D,1.0,-0.4444444444444444,0.5
1986,3.0,D,1.0,0.0,-0.5
1986,2.0,D,1.0,-0.11111111111111116,-0.16666666666666669
1986,5.0,R,1.0,-3.700743415417188e-17,0.20833333333333334
1986,5.0,R,1.0,3.700743415417188e-17,0.04166666666666663
1986,4.0,I,1.0,-0.11111111111111112,0.4166666666666667
1986,5.0,R,1.0,0.5555555555555556,-0.125
1986,6.0,R,1.0,0.11111111111111109,-0.125
1986,2.0,D,1.0,-0.11111111111111112,-0.29166666666666663
1986,6.0,R,1.0,0.22222222222222218,0.33333333333333337
1986,1.0,D,1.0,-0.6666666666666666,0.0
1986,7.0,R,1.0,0.5555555555555556,0.4166666666666667
1986,2.0,D,1.0,0.5555555555555556,0.5833333333333334
1986,1.0,D,1.0,-0.2222222222222222,0.16666666666666666
1986,1.0,D,1.0,0.3333333333333334,-0.04166666666666663
